Name,Vocals,Accompaniment,Drums,Bass,Other
A Classic Education - NightOwl,108.28571428571429,1492.1785714285713,25.464285714285715,1152.0714285714287,319.2142857142857
ANiMAL - Clinic A,135.33333333333334,979.6666666666666,116.82051282051282,623.9487179487179,236.51282051282053
ANiMAL - Easy Tiger,192.85294117647058,679.9705882352941,243.6764705882353,272.44117647058823,171.85294117647058
ANiMAL - Rockshow,130.2962962962963,698.9629629629629,244.25925925925927,353.1111111111111,102.88888888888889
Actions - Devil's Words,565.84375,908.46875,300.78125,313.03125,294.375
Actions - One Minute Smile,402.51851851851853,740.9629629629629,218.7037037037037,92.29629629629629,428.44444444444446
Actions - South Of The Water,165.20689655172413,1038.7586206896551,125.13793103448276,632.448275862069,283.1034482758621
Aimee Norwich - Child,76.93548387096774,1405.1935483870968,301.3225806451613,923.2258064516129,179.61290322580646
Alexander Ross - Goodbye Bolero,111.95652173913044,417.231884057971,74.84057971014492,60.72463768115942,283.4782608695652
Alexander Ross - Velvet Curtain,64.71764705882353,216.10588235294117,78.32941176470588,49.76470588235294,88.81176470588235
Angela Thomas Wade - Milk Cow Blues,164.11428571428573,448.7142857142857,126.6,89.71428571428571,232.54285714285714
Atlantis Bound - It Was My Fault For Waiting,176.9318181818182,512.0227272727273,306.90909090909093,112.0909090909091,95.38636363636364
Auctioneer - Our Future Faces,273.05882352941177,934.8235294117648,103.61764705882354,523.5588235294117,312.1764705882353
AvaLuna - Waterduct,97.34883720930233,333.3953488372093,124.74418604651163,152.1627906976744,56.74418604651163
BigTroubles - Phantom,194.29166666666666,1900.9583333333333,220.79166666666666,1254.25,423.7083333333333
Bill Chudziak - Children Of No-one,171.31578947368422,604.4473684210526,221.60526315789474,107.55263157894737,276.42105263157896
Black Bloc - If You Want Success,84.39393939393939,693.7424242424242,401.1212121212121,126.43939393939394,163.65151515151516
Celestial Shore - Die For Us,221.45652173913044,809.2173913043479,13.608695652173912,404.19565217391306,389.9782608695652
Chris Durban - Celebrate,109.58,815.5,188.04,343.8,289.46
Clara Berry And Wooldog - Air Traffic,109.32142857142857,400.2857142857143,107.57142857142857,216.5,77.35714285714286
Clara Berry And Wooldog - Stella,142.34375,556.4375,55.53125,439.4375,53.9375
Clara Berry And Wooldog - Waltz For My Victims,62.37931034482759,420.0344827586207,29.896551724137932,81.62068965517241,306.2758620689655
Cnoc An Tursa - Bannockburn,122.77551020408163,1003.0,521.5102040816327,162.75510204081633,316.9387755102041
Creepoid - OldTree,122.94,740.52,148.78,409.0,182.06
Dark Ride - Burning Bridges,184.94736842105263,1365.3947368421052,781.1578947368421,443.5263157894737,139.57894736842104
Dreamers Of The Ghetto - Heavy Love,254.91836734693877,539.8571428571429,137.08163265306123,91.0,310.3469387755102
Drumtracks - Ghost Bitch,276.8305084745763,344.8474576271187,66.27118644067797,152.94915254237287,124.79661016949153
Faces On Film - Waiting For Ga,234.83333333333334,686.1190476190476,53.785714285714285,41.714285714285715,589.1190476190476
Fergessen - Back From The Start,179.21428571428572,447.92857142857144,241.53571428571428,177.82142857142858,24.5
Fergessen - Nos Palpitants,310.75757575757575,234.57575757575756,113.27272727272727,40.90909090909091,81.12121212121212
Fergessen - The Wind,386.3225806451613,613.3225806451613,157.06451612903226,120.06451612903226,341.48387096774195
Flags - 54,80.15384615384616,686.9615384615385,600.5769230769231,62.21153846153846,24.673076923076923
Giselle - Moss,25.0,499.7878787878788,175.3030303030303,127.87878787878788,184.8181818181818
Grants - PunchDrunk,190.38235294117646,832.7647058823529,142.58823529411765,538.1176470588235,162.08823529411765
Helado Negro - Mitad Del Mundo,564.0,313.43333333333334,61.03333333333333,217.1,36.0
Hezekiah Jones - Borrowed Heart,168.025,569.625,106.075,96.675,364.675
Hollow Ground - Left Blind,166.26923076923077,1080.8846153846155,318.0769230769231,460.7692307692308,302.1923076923077
Hop Along - Sister Cities,239.68085106382978,924.5744680851063,92.63829787234043,521.4255319148937,306.0
Invisible Familiars - Disturbing Wildlife,135.58333333333334,784.5,117.13888888888889,572.8055555555555,95.33333333333333
James May - All Souls Moon,86.22222222222223,207.69444444444446,93.36111111111111,71.38888888888889,42.72222222222222
James May - Dont Let Go,120.075,518.5,36.575,279.475,201.35
James May - If You Say,74.90697674418605,191.72093023255815,25.72093023255814,30.651162790697676,134.93023255813952
James May - On The Line,139.23809523809524,766.6428571428571,333.6904761904762,216.07142857142858,218.73809523809524
Jay Menon - Through My Eyes,144.35714285714286,214.11904761904762,77.71428571428571,71.21428571428571,64.4047619047619
Johnny Lokke - Promises & Lies,276.8723404255319,1168.127659574468,589.5106382978723,171.36170212765958,413.93617021276594
Johnny Lokke - Whisper To A Scream,162.23809523809524,1108.7619047619048,532.3333333333334,263.73809523809524,312.9761904761905
"Jokers, Jacks & Kings - Sea Of Leaves",273.80645161290323,719.1290322580645,283.3225806451613,179.4516129032258,258.5483870967742
Leaf - Come Around,267.04545454545456,1327.7272727272727,21.681818181818183,1104.0454545454545,200.6590909090909
Leaf - Summerghost,155.60526315789474,514.7368421052631,168.6578947368421,291.13157894736844,54.0
Leaf - Wicked,95.93548387096774,444.80645161290323,229.58064516129033,161.90322580645162,49.483870967741936
Lushlife - Toynbee Suite,31.067307692307693,906.4423076923077,43.75961538461539,808.9326923076923,58.70192307692308
Matthew Entwistle - Dont You Ever,280.5,270.6111111111111,4.5,164.94444444444446,100.66666666666667
Meaxic - Take A Step,124.8936170212766,964.3829787234042,376.82978723404256,475.72340425531917,112.65957446808511
Meaxic - You Listen,152.91176470588235,419.9852941176471,115.94117647058823,129.51470588235293,172.69117647058823
Music Delta - 80s Rock,596.5,1047.3333333333333,491.5,325.5,231.16666666666666
Music Delta - Beatles,462.5,1497.5,794.0,372.6666666666667,321.1666666666667
Music Delta - Britpop,653.0,1360.6666666666667,373.8333333333333,447.3333333333333,553.1666666666666
Music Delta - Country1,425.0,754.8,259.2,352.8,136.4
Music Delta - Country2,545.5,888.0,527.5,261.5,84.0
Music Delta - Disco,301.3,611.85,369.95,185.55,62.95
Music Delta - Gospel,977.0833333333334,784.3333333333334,435.5833333333333,274.6666666666667,77.75
Music Delta - Grunge,264.3333333333333,871.5,620.3333333333334,81.33333333333333,172.33333333333334
Music Delta - Hendrix,582.3333333333334,1515.6666666666667,787.0,561.0,186.0
Music Delta - Punk,612.75,1446.75,697.0,528.5,212.5
Music Delta - Reggae,605.5,1327.0,979.0,335.0,18.5
Music Delta - Rock,874.0,1084.5,360.5,439.5,289.5
Music Delta - Rockabilly,587.5,1025.0,575.75,143.5,299.5
Night Panther - Fire,381.0857142857143,419.8857142857143,137.74285714285713,82.45714285714286,199.94285714285715
North To Alaska - All The Same,116.29268292682927,348.4146341463415,73.14634146341463,66.07317073170732,210.6829268292683
Patrick Talbot - A Reason To Leave,131.04651162790697,340.48837209302326,112.37209302325581,103.37209302325581,125.25581395348837
Patrick Talbot - Set Me Free,143.125,357.0416666666667,142.35416666666666,70.66666666666667,142.10416666666666
Phre The Eon - Everybody's Falling Apart,93.37837837837837,989.4054054054054,620.4594594594595,127.62162162162163,245.02702702702703
Port St Willow - Stay Even,116.34615384615384,341.8269230769231,51.38461538461539,17.634615384615383,273.0576923076923
Remember December - C U Next Time,322.675,825.925,253.125,269.275,311.425
Secret Mountains - High Horse,145.33898305084745,671.271186440678,71.27118644067797,211.64406779661016,389.40677966101697
Skelpolu - Human Mistakes,100.4074074074074,1562.7592592592594,356.55555555555554,956.8888888888889,237.57407407407408
Skelpolu - Together Alone,134.05555555555554,716.3888888888889,385.14814814814815,154.55555555555554,170.33333333333334
Snowmine - Curfews,151.51111111111112,1031.6222222222223,41.577777777777776,686.4444444444445,300.53333333333336
Spike Mullings - Mike's Sulking,179.11904761904762,1009.6904761904761,258.57142857142856,277.54761904761904,488.1666666666667
St Vitus - Word Gets Around,222.70731707317074,312.8780487804878,133.65853658536585,157.58536585365854,21.29268292682927
Steven Clark - Bounty,199.58333333333334,637.7083333333334,90.5625,274.4166666666667,271.5833333333333
Strand Of Oaks - Spacestation,147.8,309.25,201.15,13.25,93.375
Sweet Lights - You Let Me Down,245.41538461538462,381.87692307692305,112.98461538461538,36.89230769230769,230.63076923076923
Swinging Steaks - Lost My Way,162.6078431372549,898.843137254902,52.84313725490196,347.1372549019608,499.37254901960785
The Districts - Vermont,371.9189189189189,647.7297297297297,8.891891891891891,0.32432432432432434,638.6486486486486
The Long Wait - Back Home To Blue,168.65116279069767,758.3953488372093,111.13953488372093,461.06976744186045,189.2093023255814
The Scarlet Brand - Les Fleurs Du Mal,132.5,475.84,197.42,188.28,87.76
The So So Glos - Emergency,215.88888888888889,823.1481481481482,315.0,255.85185185185185,251.8148148148148
The Wrong'Uns - Rothko,230.63636363636363,633.8484848484849,219.54545454545453,180.03030303030303,235.87878787878788
Tim Taler - Stalker,151.74358974358975,327.05128205128204,77.64102564102564,114.6923076923077,136.25641025641025
Titanium - Haunted Age,83.2439024390244,646.6585365853658,119.14634146341463,169.8048780487805,356.219512195122
Traffic Experiment - Once More (With Feeling),102.55555555555556,759.5555555555555,121.09722222222223,310.2361111111111,330.6666666666667
Traffic Experiment - Sirens,136.57142857142858,708.7714285714286,132.7,83.92857142857143,490.42857142857144
Triviul - Angelsaint,361.71794871794873,780.6923076923077,156.17948717948718,367.0,261.43589743589746
Triviul - Dorothy,241.4516129032258,348.51612903225805,215.06451612903226,87.48387096774194,51.74193548387097
Voelund - Comfort Lives In Belief,271.2352941176471,573.0588235294117,107.44117647058823,134.7941176470588,328.52941176470586
Wall Of Death - Femme,111.07692307692308,1245.8974358974358,461.0,157.02564102564102,632.5641025641025
Young Griffo - Blood To Bone,90.52380952380952,917.3333333333334,227.6904761904762,549.1666666666666,133.88095238095238
Young Griffo - Facade,278.037037037037,720.5925925925926,163.33333333333334,188.4814814814815,366.74074074074076
Young Griffo - Pennies,257.39130434782606,939.1086956521739,245.34782608695653,506.4782608695652,187.45652173913044
